field_name,category,display_name,data_type,source_documents,applicable_deal_types,applicable_when,required,sharepoint_column_name
Month,Dating the Doc Set,Execution Month,DERIVED,,all,,FALSE,Month
NotaryBlockMonth,Dating the Doc Set,Notary Block Month,DERIVED,,all,,FALSE,NotaryBlockMonth
Year,Dating the Doc Set,Execution Year,DERIVED,,all,,FALSE,Year
SBALoanNumber,SBA Loan Info,SBA Loan Number,string,terms_conditions|authorization,all,,TRUE,SBALoanNumber
SBALoanName,SBA Loan Info,SBA Loan Name,string,terms_conditions|authorization,all,,TRUE,SBALoanName
SBAApprovalDate,SBA Loan Info,SBA Approval Date,date,terms_conditions|authorization,all,,TRUE,SBAApprovalDate
MaturityDate,SBA Loan Info,Maturity Date,date,terms_conditions|note,all,,TRUE,MaturityDate
InitialPaymentDate,SBA Loan Info,Initial Payment Date,date,note|terms_conditions|authorization,all,,TRUE,InitialPaymentDate
State,SBA Loan Info,Deal State,string,terms_conditions|authorization,all,,TRUE,State
FirstPaymentAmountShort,SBA Loan Info,First Payment Amount (Numeric),currency,terms_conditions|note,all,,TRUE,FirstPaymentAmountShort
FirstPaymentAmountLong,SBA Loan Info,First Payment Amount (Words),currency_words,terms_conditions|note,all,,TRUE,FirstPaymentAmountLong
GuarantyAmountShort,SBA Loan Info,Guaranty Amount (Numeric),currency,terms_conditions|authorization,all,,TRUE,GuarantyAmountShort
GuarantyAmountLong,SBA Loan Info,Guaranty Amount (Words),currency_words,terms_conditions|authorization,all,,TRUE,GuarantyAmountLong
Borrower1Name,Borrower 1,Borrower 1 Name,string,terms_conditions|organizational_docs,all,,TRUE,Borrower1Name
Borrower1Description,Borrower 1,Borrower 1 Entity Description,string,terms_conditions|organizational_docs,all,,TRUE,Borrower1Description
Borrower1SignerName,Borrower 1,Borrower 1 Signer Name,string,organizational_docs|resolution,all,,TRUE,Borrower1SignerName
Borrower1SignerTitle,Borrower 1,Borrower 1 Signer Title,string,organizational_docs|resolution,all,,TRUE,Borrower1SignerTitle
Borrower1StateOfOrganization,Borrower 1,Borrower 1 State of Organization,string,organizational_docs|terms_conditions,all,,TRUE,Borrower1StateOfOrganization
Borrower1DepositAccountNumber,Borrower 1,Borrower 1 Deposit Account Number,string,deposit_account_verification,all,,FALSE,Borrower1DepositAccountNumber
LimitedLiabilityCompany/Corporation,Borrower 1,Borrower 1 Entity Type,DERIVED,,all,,TRUE,EntityType
NoticeAddress1,Borrower 1,Notice Address Line 1,string,terms_conditions|organizational_docs,all,,TRUE,NoticeAddress1
NoticeAddress2,Borrower 1,Notice Address Line 2,string,terms_conditions|organizational_docs,all,,FALSE,NoticeAddress2
Borrower2Name,Borrower 2,Borrower 2 Name,string,terms_conditions|organizational_docs,all,borrower_count >= 2,FALSE,Borrower2Name
Borrower2Description,Borrower 2,Borrower 2 Entity Description,string,terms_conditions|organizational_docs,all,borrower_count >= 2,FALSE,Borrower2Description
Borrower2SignerName,Borrower 2,Borrower 2 Signer Name,string,organizational_docs|resolution,all,borrower_count >= 2,FALSE,Borrower2SignerName
Borrower2SignerTitle,Borrower 2,Borrower 2 Signer Title,string,organizational_docs|resolution,all,borrower_count >= 2,FALSE,Borrower2SignerTitle
Borrower2StateOfOrganization,Borrower 2,Borrower 2 State of Organization,string,organizational_docs|terms_conditions,all,borrower_count >= 2,FALSE,Borrower2StateOfOrganization
Borrower2DepositAccountNumber,Borrower 2,Borrower 2 Deposit Account Number,string,deposit_account_verification,all,borrower_count >= 2,FALSE,Borrower2DepositAccountNumber
BorrowerAddress1,Subject Property Details,Borrower Principal Place of Business Line 1,string,terms_conditions|organizational_docs|title_commitment|lease,all,,TRUE,BorrowerAddress1
BorrowerAddress2,Subject Property Details,Borrower Principal Place of Business Line 2,string,terms_conditions|organizational_docs|title_commitment|lease,all,,FALSE,BorrowerAddress2
PropertyAPN,Subject Property Details,Property APN,string,title_commitment|terms_conditions,all,deal_involves_real_estate == True,FALSE,PropertyAPN
